City_ID,City,Country,AQI_Value,AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM2.5_AQI_Value,PM2.5_AQI_Category
4182,Tlaxcoapan,Mexico,151,Unhealthy,1,Good,32,Good,2,Good,151,Unhealthy
4184,Tokyo,Japan,79,Moderate,1,Good,28,Good,17,Good,79,Moderate
4185,Tomioka,Japan,67,Moderate,2,Good,10,Good,11,Good,67,Moderate
4186,Torremolinos,Spain,42,Good,1,Good,42,Good,0,Good,30,Good
4187,Toufen,China,155,Unhealthy,5,Good,34,Good,36,Good,155,Unhealthy
4188,Triggiano,Italy,60,Moderate,1,Good,52,Moderate,0,Good,60,Moderate
4189,Tsihombe,Madagascar,27,Good,0,Good,27,Good,0,Good,26,Good
4190,Tuban,Indonesia,61,Moderate,1,Good,15,Good,3,Good,61,Moderate
4191,Tultitlan,Mexico,199,Unhealthy,2,Good,38,Good,5,Good,199,Unhealthy
4192,Tungkang,China,53,Moderate,1,Good,19,Good,11,Good,53,Moderate
4193,Tuni,India,93,Moderate,3,Good,40,Good,2,Good,93,Moderate
4194,Tupi Paulista,Brazil,51,Moderate,1,Good,28,Good,0,Good,51,Moderate
4195,Tura,India,75,Moderate,2,Good,23,Good,4,Good,75,Moderate
4196,Turnhout,Belgium,46,Good,1,Good,39,Good,1,Good,46,Good
4197,Uelzen,Germany,44,Good,1,Good,44,Good,0,Good,24,Good
4198,Uvinza,United Republic of Tanzania,37,Good,1,Good,28,Good,0,Good,37,Good
4199,Valga,Latvia,33,Good,1,Good,33,Good,0,Good,13,Good
4200,Varangaon,India,151,Unhealthy,2,Good,27,Good,6,Good,151,Unhealthy
4201,Vargem Grande,Brazil,41,Good,0,Good,17,Good,0,Good,41,Good
4202,Velika Plana,Serbia,58,Moderate,1,Good,58,Moderate,0,Good,57,Moderate
